"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";
"3";"0.1μF";"C-EU025-024X044";"C025-024X044";"C1, C2, C3";"CAPACITOR, European symbol";"56";"";"";"C";"";
"1";"150Ω";"150OHM-HORIZ-1/4W-5%";"AXIAL-0.3";"R1";"150Ω resistor";"";"RES-8371";"";"";"150";
"2";"2.2kΩ";"2K2OHM-HORIZ-1/4W-5%";"AXIAL-0.3";"R2, R3";"2K2Ω resistor";"";"RES-8371";"";"";"2200";
"2";"3PIN90";"PINHD-1X3/90";"1X03/90";"ROOM, VESSEL";"PIN HEADER";"17";"";"";"";"";
"1";"GP1A57HR";"GP1A57HR";"GP1A57HR";"U1";"Sharp GP1A57HR Transmissive Photointerrupter";"";"";"SEN-09299";"";"";
"1";"WEMOS-D1-MINI";"WEMOS-D1-MINI-SHIELD";"WEMOS-D1-MINI-SHIELD";"U2";"Template for WEMOS D1 mini compatible shields";"";"";"";"";"";
